Objective,AvgSim_Nodes,BestLO_Nodes,Global_Nodes,AvgSim_Edges,BestLO_Edges,Global_Edges
49442,0.720373,0.724138,0.694915,0.266881,0.290323,0.257862
48887,0.716404,0.724138,0.652893,0.276924,0.315789,0.257862
48596,0.726627,0.73913,0.652893,0.281237,0.298701,0.273885
51522,0.724711,0.73913,0.626016,0.245442,0.315789,0.212121
51975,0.710387,0.694915,0.626016,0.234204,0.197605,0.197605
47817,0.660654,0.73913,0.709402,0.246852,0.324503,0.324503
47809,0.710737,0.769912,0.694915,0.268328,0.298701,0.273885
48038,0.722008,0.73913,0.694915,0.274718,0.30719,0.282051
49965,0.718701,0.709402,0.639344,0.280219,0.282051,0.25
47427,0.731222,0.785714,0.724138,0.295594,0.360544,0.342282
49195,0.702094,0.709402,0.626016,0.262172,0.257862,0.242236
48977,0.699484,0.694915,0.709402,0.293697,0.333333,0.398601
48555,0.71566,0.769912,0.694915,0.300258,0.408451,0.342282
48768,0.692273,0.769912,0.666667,0.279284,0.342282,0.342282
49467,0.691562,0.680672,0.626016,0.241399,0.265823,0.219512
49018,0.707399,0.724138,0.680672,0.255498,0.290323,0.282051
48535,0.686278,0.769912,0.694915,0.242993,0.324503,0.290323
51225,0.681545,0.694915,0.626016,0.244112,0.265823,0.242236
48864,0.727562,0.724138,0.724138,0.269502,0.290323,0.273885
48504,0.670307,0.709402,0.666667,0.2613,0.290323,0.30719
49080,0.75139,0.724138,0.666667,0.267314,0.257862,0.242236
51716,0.68791,0.694915,0.612903,0.254153,0.273885,0.212121
47469,0.704203,0.785714,0.709402,0.277613,0.333333,0.290323
50762,0.727051,0.754386,0.666667,0.264314,0.342282,0.265823
46426,0.724737,0.769912,0.694915,0.284594,0.398601,0.273885
47815,0.736074,0.73913,0.680672,0.305457,0.360544,0.25
46542,0.71599,0.801802,0.73913,0.282517,0.41844,0.360544
47287,0.735726,0.724138,0.666667,0.302835,0.333333,0.273885
49999,0.690323,0.694915,0.652893,0.271358,0.282051,0.273885
49446,0.725306,0.754386,0.639344,0.269975,0.273885,0.212121
49769,0.72128,0.73913,0.694915,0.251195,0.273885,0.265823
52154,0.673789,0.666667,0.666667,0.24464,0.265823,0.290323
46038,0.714414,0.754386,0.801802,0.278469,0.333333,0.408451
52121,0.690995,0.639344,0.6,0.249824,0.219512,0.226994
48338,0.694591,0.73913,0.639344,0.251956,0.273885,0.183432
49772,0.726355,0.666667,0.666667,0.283515,0.273885,0.282051
49121,0.67016,0.724138,0.709402,0.232571,0.234568,0.257862
47633,0.743353,0.801802,0.694915,0.304681,0.37931,0.315789
47732,0.727438,0.709402,0.666667,0.303082,0.324503,0.298701
47953,0.682931,0.694915,0.680672,0.281347,0.360544,0.30719
49604,0.704356,0.754386,0.652893,0.249861,0.290323,0.204819
47553,0.698302,0.724138,0.680672,0.290137,0.333333,0.324503
46866,0.744736,0.73913,0.680672,0.3112,0.290323,0.273885
49483,0.725599,0.709402,0.709402,0.264412,0.242236,0.273885
47752,0.70833,0.73913,0.694915,0.289556,0.360544,0.282051
49184,0.715495,0.754386,0.680672,0.256887,0.333333,0.298701
50667,0.702683,0.652893,0.6,0.273792,0.257862,0.190476
50710,0.710681,0.666667,0.639344,0.249461,0.219512,0.212121
50509,0.725327,0.724138,0.694915,0.26035,0.25,0.257862
47888,0.72528,0.769912,0.709402,0.303938,0.351351,0.351351
50453,0.679801,0.652893,0.626016,0.264872,0.282051,0.242236
50543,0.711399,0.680672,0.666667,0.246292,0.234568,0.257862
50620,0.684934,0.652893,0.612903,0.254515,0.242236,0.212121
50607,0.66741,0.652893,0.626016,0.269242,0.315789,0.273885
50186,0.708211,0.666667,0.680672,0.267513,0.257862,0.30719
51230,0.690155,0.709402,0.612903,0.256368,0.315789,0.234568
50467,0.714897,0.724138,0.666667,0.252932,0.257862,0.226994
47608,0.727989,0.801802,0.666667,0.295924,0.37931,0.290323
51802,0.687901,0.724138,0.587302,0.236636,0.242236,0.183432
47981,0.722913,0.769912,0.666667,0.265415,0.351351,0.265823
51029,0.704287,0.724138,0.652893,0.244159,0.290323,0.257862
49456,0.715452,0.694915,0.694915,0.262088,0.273885,0.257862
49027,0.711079,0.754386,0.694915,0.272106,0.342282,0.25
46863,0.711772,0.754386,0.680672,0.277306,0.30719,0.25
51461,0.676401,0.652893,0.550388,0.253214,0.242236,0.162791
47450,0.733492,0.754386,0.652893,0.293768,0.324503,0.242236
47560,0.723333,0.785714,0.709402,0.30338,0.37931,0.282051
50759,0.719939,0.73913,0.626016,0.260687,0.298701,0.204819
50218,0.718509,0.694915,0.694915,0.274406,0.273885,0.282051
47490,0.690596,0.754386,0.680672,0.261786,0.298701,0.290323
51397,0.706028,0.666667,0.639344,0.261806,0.265823,0.298701
48553,0.683578,0.680672,0.639344,0.267604,0.315789,0.282051
49643,0.703739,0.680672,0.639344,0.268778,0.298701,0.242236
50333,0.710568,0.769912,0.652893,0.269241,0.342282,0.219512
49315,0.735326,0.724138,0.666667,0.276162,0.273885,0.204819
49257,0.704315,0.666667,0.652893,0.284138,0.25,0.342282
50059,0.684985,0.724138,0.612903,0.259566,0.298701,0.273885
48334,0.727404,0.785714,0.694915,0.269851,0.315789,0.282051
48779,0.721589,0.754386,0.652893,0.27672,0.30719,0.265823
49151,0.720087,0.724138,0.652893,0.291035,0.290323,0.242236
50593,0.694616,0.680672,0.680672,0.252593,0.265823,0.265823
49126,0.73877,0.73913,0.694915,0.291627,0.273885,0.257862
48044,0.710581,0.754386,0.639344,0.284419,0.398601,0.234568
45224,0.72611,1,0.724138,0.308506,1,0.333333
49901,0.697399,0.724138,0.639344,0.254673,0.273885,0.212121
48846,0.716378,0.754386,0.666667,0.296814,0.360544,0.265823
48801,0.718742,0.709402,0.652893,0.284162,0.242236,0.265823
49725,0.720037,0.694915,0.626016,0.280813,0.315789,0.242236
48495,0.691419,0.769912,0.652893,0.267859,0.333333,0.30719
48594,0.720366,0.680672,0.680672,0.280388,0.273885,0.290323
49719,0.699861,0.73913,0.626016,0.266243,0.30719,0.25
47720,0.707973,0.754386,0.652893,0.297286,0.324503,0.282051
49332,0.721817,0.680672,0.652893,0.295527,0.315789,0.30719
48187,0.702159,0.73913,0.709402,0.271599,0.342282,0.342282
50067,0.685697,0.769912,0.666667,0.252323,0.30719,0.242236
50356,0.708565,0.652893,0.6,0.264533,0.290323,0.219512
49564,0.688902,0.680672,0.680672,0.269037,0.324503,0.265823
48761,0.705664,0.754386,0.666667,0.24864,0.257862,0.242236
50504,0.696594,0.680672,0.652893,0.265888,0.282051,0.30719
49713,0.682523,0.680672,0.639344,0.271995,0.333333,0.25
49381,0.703918,0.724138,0.652893,0.259819,0.30719,0.212121
50067,0.725865,0.73913,0.666667,0.261413,0.265823,0.242236
46700,0.708658,0.73913,0.694915,0.287903,0.369863,0.298701
47807,0.708566,0.769912,0.666667,0.267101,0.37931,0.273885
51758,0.690542,0.666667,0.574803,0.260829,0.273885,0.190476
50326,0.708284,0.652893,0.666667,0.278596,0.265823,0.273885
48837,0.712683,0.724138,0.666667,0.285728,0.30719,0.273885
51213,0.666534,0.694915,0.694915,0.238732,0.273885,0.257862
48836,0.723689,0.724138,0.680672,0.268274,0.242236,0.265823
49993,0.719576,0.73913,0.626016,0.277372,0.298701,0.257862
48373,0.737313,0.754386,0.694915,0.28503,0.315789,0.290323
51193,0.669675,0.626016,0.574803,0.251642,0.226994,0.219512
50852,0.710023,0.694915,0.639344,0.266383,0.265823,0.234568
52297,0.688328,0.680672,0.612903,0.263807,0.298701,0.204819
50389,0.724233,0.709402,0.666667,0.269639,0.298701,0.242236
48226,0.733533,0.754386,0.694915,0.276493,0.333333,0.290323
50096,0.690645,0.709402,0.639344,0.246652,0.212121,0.212121
45869,0.733912,0.785714,0.769912,0.302231,0.369863,0.408451
