Objective,AvgSim_Nodes,BestLO_Nodes,Global_Nodes,AvgSim_Edges,BestLO_Edges,Global_Edges
74595,0.802326,0.801802,0.769912,0.30174,0.282051,0.30719
74648,0.78718,0.834862,0.73913,0.306257,0.369863,0.298701
72643,0.771839,0.769912,0.785714,0.29113,0.25,0.290323
73423,0.781106,0.73913,0.724138,0.299479,0.242236,0.282051
71407,0.793089,0.851852,0.785714,0.332024,0.408451,0.351351
75561,0.773945,0.785714,0.73913,0.291938,0.30719,0.333333
76064,0.725887,0.769912,0.724138,0.264603,0.298701,0.290323
76716,0.760535,0.709402,0.666667,0.292335,0.25,0.242236
74834,0.749157,0.73913,0.73913,0.304296,0.290323,0.30719
71709,0.780258,0.818182,0.818182,0.30155,0.369863,0.449275
76934,0.762938,0.724138,0.680672,0.280216,0.273885,0.265823
73617,0.796284,0.818182,0.769912,0.311571,0.333333,0.333333
74013,0.762553,0.851852,0.754386,0.294826,0.351351,0.324503
74361,0.803573,0.785714,0.73913,0.314788,0.290323,0.290323
73666,0.809636,0.754386,0.709402,0.318482,0.282051,0.282051
77976,0.76223,0.769912,0.680672,0.275065,0.324503,0.25
74262,0.800498,0.785714,0.73913,0.311216,0.351351,0.298701
73145,0.789125,0.801802,0.73913,0.310968,0.342282,0.351351
73485,0.788593,0.785714,0.785714,0.290155,0.30719,0.333333
71242,0.777489,1,0.818182,0.308553,1,0.428571
73195,0.791582,0.801802,0.754386,0.295326,0.324503,0.282051
74448,0.818188,0.785714,0.73913,0.300201,0.273885,0.290323
73878,0.790568,0.73913,0.724138,0.317122,0.290323,0.273885
75234,0.787454,0.769912,0.680672,0.304266,0.342282,0.273885
73070,0.776195,0.785714,0.818182,0.286682,0.282051,0.351351
72363,0.797709,0.834862,0.818182,0.314755,0.298701,0.369863
76079,0.755838,0.709402,0.666667,0.303508,0.290323,0.273885
74218,0.770942,0.769912,0.724138,0.295834,0.324503,0.324503
72922,0.807293,0.818182,0.73913,0.333504,0.333333,0.333333
75179,0.79609,0.754386,0.724138,0.30506,0.282051,0.298701
74352,0.80152,0.818182,0.754386,0.308694,0.298701,0.298701
74705,0.765941,0.724138,0.680672,0.303038,0.290323,0.290323
73817,0.765479,0.769912,0.709402,0.323903,0.398601,0.351351
73068,0.80786,0.801802,0.754386,0.313929,0.30719,0.333333
74389,0.793259,0.801802,0.724138,0.293982,0.30719,0.298701
74868,0.785738,0.73913,0.694915,0.290655,0.257862,0.290323
72949,0.798371,0.754386,0.73913,0.332519,0.324503,0.342282
74424,0.784113,0.769912,0.724138,0.290934,0.30719,0.25
75627,0.797641,0.754386,0.724138,0.289778,0.290323,0.273885
75181,0.798116,0.769912,0.754386,0.290823,0.298701,0.30719
74238,0.79656,0.754386,0.694915,0.30277,0.282051,0.282051
75300,0.786645,0.769912,0.709402,0.309255,0.333333,0.342282
73885,0.785137,0.801802,0.754386,0.312038,0.30719,0.333333
75492,0.766691,0.785714,0.73913,0.286378,0.315789,0.273885
75505,0.768646,0.801802,0.73913,0.277538,0.324503,0.242236
75891,0.783819,0.73913,0.680672,0.286702,0.282051,0.282051
76542,0.774636,0.73913,0.694915,0.289803,0.212121,0.25
75780,0.795568,0.769912,0.709402,0.302418,0.265823,0.265823
75212,0.757643,0.694915,0.680672,0.309249,0.282051,0.265823
73911,0.791384,0.73913,0.73913,0.315407,0.282051,0.324503
77509,0.765974,0.724138,0.666667,0.285294,0.265823,0.290323
75863,0.761653,0.709402,0.680672,0.269483,0.212121,0.176471
75193,0.782415,0.709402,0.639344,0.323204,0.333333,0.351351
73443,0.788042,0.769912,0.769912,0.295686,0.273885,0.30719
73839,0.795748,0.785714,0.754386,0.307133,0.30719,0.30719
75512,0.787422,0.73913,0.694915,0.306692,0.290323,0.315789
75137,0.785129,0.724138,0.724138,0.292483,0.234568,0.257862
74119,0.790774,0.769912,0.724138,0.299131,0.315789,0.324503
73298,0.811903,0.801802,0.754386,0.319602,0.351351,0.324503
73286,0.792845,0.818182,0.724138,0.310842,0.37931,0.315789
73304,0.811698,0.769912,0.73913,0.341324,0.282051,0.324503
74825,0.797849,0.754386,0.694915,0.308393,0.282051,0.273885
76359,0.781439,0.754386,0.694915,0.288068,0.25,0.25
73385,0.794037,0.869159,0.785714,0.307408,0.360544,0.342282
74734,0.781663,0.73913,0.709402,0.293979,0.282051,0.333333
75913,0.759136,0.73913,0.680672,0.282187,0.351351,0.324503
76907,0.761124,0.73913,0.666667,0.296138,0.315789,0.324503
73078,0.776215,0.834862,0.785714,0.300077,0.282051,0.324503
74708,0.793761,0.769912,0.73913,0.292124,0.282051,0.282051
73092,0.798053,0.801802,0.801802,0.318809,0.324503,0.298701
72438,0.774074,0.801802,0.834862,0.301509,0.342282,0.37931
72488,0.806576,0.818182,0.785714,0.330405,0.369863,0.408451
73210,0.783047,0.869159,0.785714,0.29724,0.360544,0.342282
73488,0.766188,0.801802,0.801802,0.290846,0.315789,0.388889
74433,0.798197,0.818182,0.73913,0.305504,0.315789,0.315789
74668,0.790677,0.73913,0.724138,0.299241,0.273885,0.30719
73638,0.785592,0.769912,0.694915,0.320357,0.315789,0.298701
75660,0.782546,0.724138,0.709402,0.279159,0.212121,0.273885
73305,0.790788,0.785714,0.769912,0.304123,0.333333,0.324503
74796,0.789522,0.785714,0.724138,0.296188,0.351351,0.298701
76706,0.747662,0.818182,0.709402,0.270988,0.324503,0.290323
74286,0.790154,0.818182,0.709402,0.308058,0.324503,0.273885
73859,0.769428,0.769912,0.754386,0.27215,0.290323,0.282051
74478,0.806717,0.801802,0.754386,0.299569,0.351351,0.298701
72687,0.800412,0.801802,0.73913,0.332566,0.398601,0.369863
74751,0.7733,0.769912,0.709402,0.331817,0.360544,0.315789
74421,0.794702,0.769912,0.73913,0.285163,0.30719,0.282051
73476,0.794529,0.801802,0.73913,0.315625,0.315789,0.342282
72070,0.815447,0.801802,0.754386,0.342765,0.30719,0.388889
73001,0.784437,0.834862,0.754386,0.330332,0.342282,0.342282
76413,0.772696,0.709402,0.680672,0.296969,0.290323,0.324503
73493,0.775593,0.754386,0.754386,0.308018,0.282051,0.282051
74807,0.796809,0.801802,0.769912,0.2921,0.265823,0.265823
74800,0.806545,0.785714,0.724138,0.325088,0.324503,0.298701
73310,0.813396,0.785714,0.769912,0.321496,0.360544,0.324503
74056,0.793272,0.834862,0.801802,0.299343,0.315789,0.41844
74930,0.783631,0.818182,0.73913,0.289305,0.30719,0.265823
74198,0.783476,0.785714,0.724138,0.283081,0.273885,0.242236
73860,0.799555,0.834862,0.769912,0.308002,0.351351,0.324503
74642,0.755003,0.724138,0.785714,0.287291,0.257862,0.324503
73537,0.805432,0.801802,0.73913,0.31794,0.37931,0.298701
73033,0.781399,0.801802,0.724138,0.303309,0.333333,0.290323
74705,0.757442,0.709402,0.724138,0.297723,0.282051,0.282051
73886,0.795417,0.801802,0.769912,0.301932,0.290323,0.315789
73232,0.805853,0.801802,0.754386,0.309792,0.298701,0.30719
74201,0.792475,0.785714,0.724138,0.311498,0.333333,0.298701
74182,0.804355,0.754386,0.724138,0.31687,0.298701,0.342282
73178,0.800243,0.785714,0.769912,0.300032,0.290323,0.298701
72752,0.788523,0.834862,0.769912,0.307691,0.351351,0.324503
74495,0.788282,0.724138,0.680672,0.31546,0.290323,0.290323
73389,0.800833,0.818182,0.73913,0.308875,0.282051,0.30719
72616,0.806965,0.851852,0.801802,0.316712,0.41844,0.351351
74548,0.811918,0.801802,0.754386,0.3021,0.290323,0.298701
72743,0.785955,0.769912,0.818182,0.318022,0.324503,0.428571
74702,0.804623,0.801802,0.724138,0.303263,0.25,0.242236
72733,0.803342,0.785714,0.73913,0.323637,0.324503,0.30719
73943,0.788429,0.785714,0.73913,0.303612,0.333333,0.30719
72837,0.82589,0.818182,0.754386,0.323586,0.369863,0.360544
73982,0.789677,0.785714,0.73913,0.284565,0.265823,0.282051
73873,0.77067,0.754386,0.680672,0.302954,0.351351,0.30719
74540,0.793018,0.801802,0.724138,0.299203,0.324503,0.273885
75127,0.77494,0.769912,0.769912,0.282379,0.273885,0.333333
73055,0.80497,0.769912,0.73913,0.32963,0.342282,0.428571
75530,0.764021,0.709402,0.694915,0.278896,0.242236,0.204819
71378,0.769732,0.834862,0.818182,0.293338,0.342282,0.398601
73680,0.759213,0.801802,0.769912,0.294739,0.360544,0.369863
74520,0.772246,0.785714,0.769912,0.283016,0.265823,0.30719
73321,0.799436,0.801802,0.785714,0.306737,0.282051,0.315789
73687,0.777789,0.785714,0.769912,0.301071,0.282051,0.290323
75218,0.784571,0.834862,0.724138,0.265257,0.290323,0.265823
75200,0.795264,0.73913,0.724138,0.297537,0.265823,0.273885
73783,0.780487,0.785714,0.73913,0.299028,0.333333,0.315789
75114,0.787966,0.73913,0.754386,0.285928,0.257862,0.290323
75633,0.761972,0.724138,0.724138,0.290638,0.282051,0.315789
75304,0.773595,0.769912,0.754386,0.264649,0.298701,0.282051
76475,0.762935,0.769912,0.694915,0.265704,0.273885,0.257862
73677,0.806039,0.801802,0.785714,0.290257,0.369863,0.315789
75818,0.730396,0.754386,0.754386,0.285162,0.333333,0.30719
73740,0.772003,0.801802,0.73913,0.281548,0.290323,0.324503
74162,0.803946,0.785714,0.724138,0.311435,0.30719,0.298701
74213,0.796035,0.769912,0.73913,0.307263,0.298701,0.298701
75207,0.780441,0.73913,0.666667,0.309594,0.30719,0.25
74739,0.788962,0.769912,0.709402,0.306177,0.342282,0.30719
74081,0.766582,0.851852,0.769912,0.271288,0.388889,0.324503
75257,0.75987,0.769912,0.680672,0.319895,0.459854,0.342282
74999,0.792502,0.73913,0.694915,0.276741,0.265823,0.30719
73401,0.783899,0.818182,0.754386,0.306139,0.351351,0.351351
73412,0.796255,0.769912,0.73913,0.303313,0.290323,0.282051
73238,0.80105,0.769912,0.754386,0.316017,0.273885,0.315789
75619,0.771597,0.73913,0.666667,0.288062,0.290323,0.290323
76498,0.769973,0.785714,0.694915,0.278674,0.282051,0.265823
74767,0.748706,0.724138,0.769912,0.268169,0.226994,0.273885
75038,0.782225,0.769912,0.73913,0.299727,0.25,0.282051
74161,0.766698,0.73913,0.754386,0.306029,0.257862,0.290323
74361,0.778562,0.785714,0.724138,0.290891,0.290323,0.265823
73972,0.797786,0.785714,0.769912,0.290381,0.333333,0.315789
71865,0.790457,0.754386,0.73913,0.322559,0.333333,0.342282
74960,0.760712,0.754386,0.754386,0.280678,0.273885,0.351351
73620,0.806239,0.785714,0.724138,0.328191,0.388889,0.333333
73378,0.793088,0.801802,0.754386,0.310191,0.290323,0.324503
72417,0.801169,0.818182,0.785714,0.330466,0.369863,0.388889
74293,0.797576,0.754386,0.769912,0.319656,0.315789,0.324503
72975,0.80865,0.801802,0.73913,0.329869,0.342282,0.324503
72332,0.802764,0.834862,0.769912,0.338942,0.351351,0.398601
74113,0.765334,0.818182,0.769912,0.288304,0.388889,0.290323
73090,0.78709,0.818182,0.785714,0.302338,0.333333,0.342282
73218,0.776972,0.724138,0.769912,0.311053,0.265823,0.342282
76267,0.774453,0.754386,0.694915,0.285033,0.290323,0.315789
74619,0.813513,0.801802,0.73913,0.294397,0.315789,0.30719
75531,0.769815,0.801802,0.73913,0.301585,0.351351,0.298701
75865,0.787069,0.73913,0.694915,0.290324,0.242236,0.234568
76327,0.760316,0.801802,0.709402,0.293244,0.324503,0.315789
